dt,datetime,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon
1694966400,2023-09-17 19:00:00,25.100000000000023,24.840000000000032,1017,45,24.360000000000014,26.03000000000003,4.63,60,0,800,Clear,clear sky,01d
1694970000,2023-09-17 20:00:00,23.74000000000001,23.420000000000016,1017,48,22.05000000000001,24.920000000000016,3.6,60,0,800,Clear,clear sky,01n
1694973600,2023-09-17 21:00:00,22.680000000000007,22.360000000000014,1018,52,21.05000000000001,23.810000000000002,3.6,90,0,800,Clear,clear sky,01n
1694977200,2023-09-17 22:00:00,21.090000000000032,20.77000000000004,1017,58,20.480000000000018,21.670000000000016,4.12,90,0,800,Clear,clear sky,01n
1694980800,2023-09-17 23:00:00,20.100000000000023,19.810000000000002,1017,63,19.360000000000014,20.560000000000002,3.6,110,0,800,Clear,clear sky,01n
1694984400,2023-09-18 00:00:00,19.32000000000005,19.060000000000002,1019,67,18.900000000000034,19.439999999999998,3.6,100,0,800,Clear,clear sky,01n
1694988000,2023-09-18 01:00:00,18.660000000000025,18.379999999999995,1017,69,17.700000000000045,19.430000000000007,2.68,100,0,800,Clear,clear sky,01n
1694991600,2023-09-18 02:00:00,17.760000000000048,17.470000000000027,1017,72,17.010000000000048,18.33000000000004,2.57,50,0,800,Clear,clear sky,01n
1694995200,2023-09-18 03:00:00,17.29000000000002,17.060000000000002,1017,76,16.010000000000048,17.78000000000003,3.09,10,0,800,Clear,clear sky,01n
1694998800,2023-09-18 04:00:00,16.640000000000043,16.420000000000016,1018,79,13.900000000000034,18.810000000000002,2.06,30,0,800,Clear,clear sky,01n
1695002400,2023-09-18 05:00:00,16.5,16.27000000000004,1017,79,13.010000000000048,18.810000000000002,2.57,40,0,800,Clear,clear sky,01n
1695006000,2023-09-18 06:00:00,15.900000000000034,15.660000000000025,1017,81,12.830000000000041,17.700000000000045,2.06,60,0,800,Clear,clear sky,01n
1695009600,2023-09-18 07:00:00,15.29000000000002,14.990000000000009,1018,81,12.79000000000002,17.700000000000045,1.54,50,0,800,Clear,clear sky,01d
1695013200,2023-09-18 08:00:00,16.5,16.24000000000001,1018,78,13.010000000000048,18.25,2.06,60,0,741,Fog,fog,50d
1695016800,2023-09-18 09:00:00,17.79000000000002,17.560000000000002,1020,74,16.010000000000048,19.360000000000014,2.57,80,0,800,Clear,clear sky,01d
1695020400,2023-09-18 10:00:00,19.939999999999998,19.74000000000001,1020,67,18.900000000000034,20.480000000000018,3.13,70,0,800,Clear,clear sky,01d
1695024000,2023-09-18 11:00:00,22.610000000000014,22.439999999999998,1020,58,20.010000000000048,24.360000000000014,3.09,90,0,800,Clear,clear sky,01d
1695027600,2023-09-18 12:00:00,22.77000000000004,22.410000000000025,1018,50,22.700000000000045,23.05000000000001,3.13,80,0,800,Clear,clear sky,01d
1695031200,2023-09-18 13:00:00,24.939999999999998,24.720000000000027,1017,47,22.700000000000045,27.220000000000027,3.6,130,20,801,Clouds,few clouds,02d
1695034800,2023-09-18 14:00:00,26.090000000000032,26.090000000000032,1017,46,24.360000000000014,27.78000000000003,3.6,50,0,800,Clear,clear sky,01d
1695038400,2023-09-18 15:00:00,26.79000000000002,26.810000000000002,1018,42,23.939999999999998,28.810000000000002,2.68,110,0,800,Clear,clear sky,01d
1695042000,2023-09-18 16:00:00,26.29000000000002,26.29000000000002,1014,40,25.05000000000001,26.670000000000016,3.6,80,0,800,Clear,clear sky,01d
1695045600,2023-09-18 17:00:00,25.860000000000014,25.57000000000005,1014,41,25.05000000000001,26.120000000000005,5.14,90,0,800,Clear,clear sky,01d
1695049200,2023-09-18 18:00:00,25.640000000000043,25.28000000000003,1013,39,25.480000000000018,26.160000000000025,4.12,60,0,800,Clear,clear sky,01d
1695052800,2023-09-18 19:00:00,25.28000000000003,24.960000000000036,1015,42,24.360000000000014,26.590000000000032,3.13,60,0,800,Clear,clear sky,01d
1695056400,2023-09-18 20:00:00,23.350000000000023,22.970000000000027,1015,47,22.05000000000001,23.879999999999995,3.13,100,0,800,Clear,clear sky,01n
1695060000,2023-09-18 21:00:00,21.350000000000023,20.900000000000034,1015,52,18.900000000000034,22.220000000000027,2.57,90,0,800,Clear,clear sky,01n
1695063600,2023-09-18 22:00:00,21.05000000000001,20.620000000000005,1015,54,17.83000000000004,21.670000000000016,2.68,90,0,800,Clear,clear sky,01n
1695067200,2023-09-18 23:00:00,20.680000000000007,20.27000000000004,1017,56,17.83000000000004,21.120000000000005,4.12,110,0,800,Clear,clear sky,01n
1695070800,2023-09-19 00:00:00,19.350000000000023,18.930000000000007,1015,61,17.83000000000004,20.010000000000048,3.6,120,0,800,Clear,clear sky,01n
1695074400,2023-09-19 01:00:00,18.370000000000005,17.930000000000007,1015,64,17.05000000000001,19.010000000000048,3.13,130,0,800,Clear,clear sky,01n
1695078000,2023-09-19 02:00:00,17.79000000000002,17.370000000000005,1015,67,16.05000000000001,19.010000000000048,2.68,130,0,800,Clear,clear sky,01n
1695081600,2023-09-19 03:00:00,16.890000000000043,16.460000000000036,1015,70,15.050000000000011,17.230000000000018,2.57,360,0,800,Clear,clear sky,01n
1695085200,2023-09-19 04:00:00,16.5,16.060000000000002,1015,71,13.010000000000048,18.25,1.54,50,0,800,Clear,clear sky,01n
1695088800,2023-09-19 05:00:00,15.480000000000018,15.07000000000005,1015,76,12.79000000000002,17.700000000000045,1.54,70,0,800,Clear,clear sky,01n
1695092400,2023-09-19 06:00:00,15.140000000000043,14.75,1015,78,12.050000000000011,17.140000000000043,1.03,0,0,800,Clear,clear sky,01n
1695096000,2023-09-19 07:00:00,14.550000000000011,14.150000000000034,1015,80,12.010000000000048,16.590000000000032,1.54,80,0,800,Clear,clear sky,01d
1695099600,2023-09-19 08:00:00,16.170000000000016,15.879999999999995,1014,78,12.010000000000048,17.220000000000027,1.54,90,0,800,Clear,clear sky,01d
1695103200,2023-09-19 09:00:00,17.78000000000003,17.57000000000005,1016,75,14.050000000000011,19.360000000000014,2.24,80,0,800,Clear,clear sky,01d
1695106800,2023-09-19 10:00:00,19.720000000000027,19.52000000000004,1016,68,18.939999999999998,20.010000000000048,3.13,100,0,800,Clear,clear sky,01d
1695110400,2023-09-19 11:00:00,22.470000000000027,22.310000000000002,1016,59,21.590000000000032,23.32000000000005,2.68,120,0,800,Clear,clear sky,01d
1695114000,2023-09-19 12:00:00,23.120000000000005,22.870000000000005,1014,53,22.79000000000002,23.25,3.13,190,0,800,Clear,clear sky,01d
1695117600,2023-09-19 13:00:00,25.410000000000025,25.210000000000036,1013,46,22.79000000000002,27.220000000000027,3.6,170,0,800,Clear,clear sky,01d
1695121200,2023-09-19 14:00:00,26.379999999999995,26.379999999999995,1013,41,23.900000000000034,27.78000000000003,2.68,240,0,800,Clear,clear sky,01d
1695124800,2023-09-19 15:00:00,27.470000000000027,27.0,1012,36,25.010000000000048,28.890000000000043,1.03,0,0,800,Clear,clear sky,01d
1695128400,2023-09-19 16:00:00,27.629999999999995,27.02000000000004,1012,34,25.05000000000001,29.430000000000007,2.68,0,0,800,Clear,clear sky,01d
1695132000,2023-09-19 17:00:00,27.140000000000043,26.680000000000007,1012,34,25.05000000000001,29.360000000000014,1.03,0,0,800,Clear,clear sky,01d
1695135600,2023-09-19 18:00:00,26.180000000000007,26.180000000000007,1011,36,23.939999999999998,28.25,2.68,320,0,800,Clear,clear sky,01d
1695139200,2023-09-19 19:00:00,24.120000000000005,23.810000000000002,1011,47,22.83000000000004,24.99000000000001,1.54,40,20,501,Rain,moderate rain,10d
1695142800,2023-09-19 20:00:00,23.060000000000002,22.700000000000045,1011,49,22.05000000000001,23.32000000000005,2.57,310,20,801,Clouds,few clouds,02n
1695146400,2023-09-19 21:00:00,21.720000000000027,21.33000000000004,1011,53,20.05000000000001,22.230000000000018,3.09,330,0,800,Clear,clear sky,01n
1695150000,2023-09-19 22:00:00,20.5,20.25,1012,63,17.83000000000004,22.140000000000043,3.13,300,0,800,Clear,clear sky,01n
1695153600,2023-09-19 23:00:00,19.730000000000018,19.480000000000018,1012,66,17.05000000000001,21.590000000000032,2.24,290,0,800,Clear,clear sky,01n
1695157200,2023-09-20 00:00:00,19.180000000000007,18.930000000000007,1012,68,16.05000000000001,21.03000000000003,1.54,290,0,800,Clear,clear sky,01n
1695160800,2023-09-20 01:00:00,18.689999999999998,18.439999999999998,1012,70,15.050000000000011,20.480000000000018,2.06,300,0,800,Clear,clear sky,01n
1695164400,2023-09-20 02:00:00,18.129999999999995,17.930000000000007,1012,74,15.050000000000011,20.480000000000018,1.54,250,0,800,Clear,clear sky,01n
1695168000,2023-09-20 03:00:00,17.730000000000018,17.52000000000004,1012,75,15.050000000000011,20.480000000000018,3.09,250,0,800,Clear,clear sky,01n
1695171600,2023-09-20 04:00:00,17.129999999999995,17.010000000000048,1012,81,15.050000000000011,17.78000000000003,2.06,230,0,800,Clear,clear sky,01n
1695175200,2023-09-20 05:00:00,17.460000000000036,17.30000000000001,1012,78,15.050000000000011,19.920000000000016,2.06,230,0,800,Clear,clear sky,01n
1695178800,2023-09-20 06:00:00,17.379999999999995,17.210000000000036,1012,78,15.050000000000011,19.360000000000014,2.68,230,0,800,Clear,clear sky,01n
1695182400,2023-09-20 07:00:00,17.180000000000007,16.99000000000001,1011,78,16.05000000000001,17.78000000000003,2.06,220,0,800,Clear,clear sky,01d
1695186000,2023-09-20 08:00:00,17.480000000000018,17.370000000000005,1011,80,16.05000000000001,18.33000000000004,3.6,250,0,800,Clear,clear sky,01d
1695189600,2023-09-20 09:00:00,18.700000000000045,18.610000000000014,1012,76,17.05000000000001,19.439999999999998,3.09,240,0,800,Clear,clear sky,01d
1695193200,2023-09-20 10:00:00,20.220000000000027,20.150000000000034,1014,71,18.05000000000001,22.140000000000043,3.09,240,0,500,Rain,light rain,10d
1695196800,2023-09-20 11:00:00,21.140000000000043,20.980000000000018,1013,64,20.010000000000048,22.700000000000045,4.12,240,0,800,Clear,clear sky,01d
1695200400,2023-09-20 12:00:00,23.670000000000016,23.53000000000003,1014,55,21.05000000000001,24.439999999999998,5.14,250,20,801,Clouds,few clouds,02d
1695204000,2023-09-20 13:00:00,24.600000000000023,24.53000000000003,1014,54,23.810000000000002,26.160000000000025,4.12,220,0,800,Clear,clear sky,01d
1695207600,2023-09-20 14:00:00,26.760000000000048,27.200000000000045,1014,50,26.010000000000048,28.32000000000005,2.24,210,0,800,Clear,clear sky,01d
1695211200,2023-09-20 15:00:00,27.129999999999995,27.29000000000002,1013,46,26.05000000000001,27.230000000000018,5.14,130,0,800,Clear,clear sky,01d
1695214800,2023-09-20 16:00:00,28.010000000000048,27.890000000000043,1010,43,26.05000000000001,29.439999999999998,4.63,110,0,800,Clear,clear sky,01d
1695218400,2023-09-20 17:00:00,28.230000000000018,28.02000000000004,1012,42,26.03000000000003,31.100000000000023,3.6,100,0,800,Clear,clear sky,01d
1695222000,2023-09-20 18:00:00,26.670000000000016,26.82000000000005,1011,44,26.03000000000003,28.25,4.12,110,0,800,Clear,clear sky,01d
